"duration","cycle_length","estimated_ovulation","estimated_luteal_phase","cycle_length_avoid_preg","cycle_length_seek_preg","estimated_ovulation_avoid_preg","estimated_ovulation_seek_preg","estimated_luteal_phase_avoid_preg","estimated_luteal_phase_seek_preg"
1,0,0,3.51456788387868e-05,0,0,0,0,4.95810402102236e-05,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0.000316311109549081,0,0,0,0,0.000297486241261342,0.000253164556962025
4,0,0,0.00168699258426177,0,0,0,0,0.00143785016609648,0.00177215189873418
5,0,0,0.00354971356271746,0,0,0,0,0.00376815905597699,0.00278481012658228
6,0,0,0.00586932836607739,0,0,0,0,0.00520600922207348,0.00556962025316456
7,0,0.000351456788387868,0.0105085579727972,0,0,0.000347067281471565,0,0.010412018444147,0.0106329113924051
8,0,0.00172213826310055,0.0213334270551436,0,0,0.00158659328672716,0.00227848101265823,0.0203282264861917,0.0243037974683544
9,0,0.00811865181175974,0.0397497627666678,0,0,0.00813129059447667,0.00405063291139241,0.0372849422380882,0.0478481012658228
10,0,0.0229852739605665,0.0717323305099638,0,0,0.0247409390649016,0.0131645569620253,0.067182309484853,0.0865822784810127
11,3.51456788387868e-05,0.046322004709521,0.123818226549046,0,0.000253164556962025,0.0509197282958996,0.0286075949367089,0.120531508751054,0.138987341772152
12,0,0.0826977823076653,0.181140828735107,0,0,0.0877088601318856,0.0665822784810127,0.182656552134464,0.172911392405063
13,7.02913576775735e-05,0.121498611745686,0.196745510139528,9.91620804204472e-05,0,0.12861321830532,0.103544303797468,0.200654469730775,0.187088607594937
14,0.00010543703651636,0.141742522756827,0.159842547358802,4.95810402102236e-05,0.000253164556962025,0.146908622142893,0.131139240506329,0.163072041251425,0.146075949367089
15,0.00010543703651636,0.133448142550873,0.0919059501634274,9.91620804204472e-05,0,0.134662105210967,0.124050632911392,0.096683028409936,0.0792405063291139
16,0.000492039503743015,0.111306364882438,0.045829965205778,0.00054539144231246,0,0.110268233427537,0.12253164556962,0.0489860677277009,0.0334177215189873
17,0.000738059255614522,0.0882156538853548,0.0187677924999121,0.000644553522732907,0.000759493670886076,0.0865189151668402,0.1,0.0186424711190441,0.0177215189873418
18,0.00126524443819632,0.0663901873264682,0.00896214810389063,0.00123952600525559,0.00126582278481013,0.0641578660320293,0.0726582278481013,0.00847835787594824,0.00962025316455696
19,0.0013355357958739,0.0464977331037149,0.00383087899342776,0.00128910704546581,0.00126582278481013,0.0421438841786901,0.060253164556962,0.00347067281471565,0.00481012658227848
20,0.00333883948968474,0.0331072294661371,0.00305767405897445,0.00322276761366453,0.00430379746835443,0.0299469482869751,0.040253164556962,0.00267737617135207,0.00531645569620253
21,0.00463922960671985,0.0225635258145011,0.00196815801497206,0.00475977986018147,0.00430379746835443,0.0204769696068224,0.0283544303797468,0.0016857553671476,0.00329113924050633
22,0.0117738024109936,0.0165887604119074,0.00119495308051875,0.0122465169319252,0.00860759493670886,0.0145768258218057,0.0194936708860759,0.000892458723784025,0.00278481012658228
23,0.027202755421221,0.0123712789512529,0.000913787649808456,0.0291040706034013,0.0189873417721519,0.0105607615647776,0.0187341772151899,0.000842877683573801,0.00126582278481013
24,0.0565142515727691,0.0101219555055706,0.000843496292130883,0.0588526947295354,0.0420253164556962,0.00892458723784025,0.0141772151898734,0.000396648321681789,0.0020253164556962
25,0.0961234316240818,0.00622078515446526,0.000632622219098162,0.0976250681739303,0.0843037974683544,0.00515642818186326,0.010126582278481,0.000644553522732907,0.00126582278481013
26,0.115242680912382,0.00516641478930166,0.000808350613292096,0.120035698348951,0.104050632911392,0.00446229361892013,0.00784810126582279,0.000694134562943131,0.0010126582278481
27,0.142199416581731,0.00337398516852353,0.000702913576775735,0.147553175665625,0.132151898734177,0.00257821409093163,0.00430379746835443,0.000347067281471565,0.00227848101265823
28,0.134607949952553,0.00365515059923382,0.000562330861420588,0.139273141950518,0.132405063291139,0.00327234865387476,0.0030379746835443,0.000446229361892012,0.00151898734177215
29,0.107370048852494,0.00267107159174779,0.000281165430710294,0.107838762457236,0.107341772151899,0.00242947097030096,0.00354430379746835,0.000148743120630671,0.000506329113924051
30,0.0773907848030085,0.00210874073032721,0.000281165430710294,0.075164856958699,0.0840506329113924,0.0016857553671476,0.00405063291139241,0.000148743120630671,0.000759493670886076
31,0.0589393034126454,0.00182757529961691,0.000351456788387868,0.0560761564777629,0.0678481012658228,0.00178491744756805,0.00227848101265823,0.000297486241261342,0.000506329113924051
32,0.0404526763434436,0.00119495308051875,0.000281165430710294,0.039466508007338,0.0430379746835443,0.00114036392483514,0.00177215189873418,0.000247905201051118,0.000253164556962025
33,0.0274136294942537,0.0010543703651636,0.000246019751871507,0.0255838167484754,0.0286075949367089,0.00109078288462492,0.0010126582278481,0.000148743120630671,0.000759493670886076
34,0.0204899307630127,0.00108951604400239,0.000175728394193934,0.0185433090386236,0.0237974683544304,0.000842877683573801,0.0020253164556962,0.000148743120630671,0
35,0.0142339999297086,0.000667767897936949,0.000175728394193934,0.0133868808567604,0.0162025316455696,0.00054539144231246,0.00126582278481013,9.91620804204472e-05,0.000506329113924051
36,0.0108600147611851,0.000562330861420588,0.000140582715355147,0.00892458723784025,0.0156962025316456,0.000446229361892012,0.000759493670886076,0.000148743120630671,0.000253164556962025
37,0.00808350613292096,0.000421748146065441,0.000140582715355147,0.00669344042838019,0.0131645569620253,0.000347067281471565,0.000759493670886076,4.95810402102236e-05,0.000506329113924051
38,0.00671282465820827,0.000421748146065441,0.000175728394193934,0.00560265754375527,0.0108860759493671,0.000297486241261342,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
39,0.00513126911046287,0.000386602467226654,3.51456788387868e-05,0.00381774009618722,0.00683544303797468,0.000297486241261342,0.00126582278481013,0,0
40,0.00400660738762169,0.000281165430710294,0.00010543703651636,0.00337151073429521,0.00708860759493671,0.000247905201051118,0.000506329113924051,0,0.000759493670886076
41,0.00326854813200717,0.000351456788387868,0.00010543703651636,0.00302444345282364,0.00405063291139241,0.000247905201051118,0.0010126582278481,9.91620804204472e-05,0.000253164556962025
42,0.00295223702245809,0.000246019751871507,7.02913576775735e-05,0.00242947097030096,0.00405063291139241,0.000247905201051118,0,0,0.000506329113924051
43,0.00242505183987629,0.000246019751871507,0.000140582715355147,0.00198324160840894,0.00379746835443038,0.000198324160840894,0.000506329113924051,9.91620804204472e-05,0.000506329113924051
44,0.00196815801497206,0.000175728394193934,3.51456788387868e-05,0.00198324160840894,0.0020253164556962,4.95810402102236e-05,0.000759493670886076,4.95810402102236e-05,0
45,0.00147611851122904,0.000281165430710294,0,0.00138826912588626,0.00278481012658228,0.000247905201051118,0.000253164556962025,0,0
46,0.0013355357958739,0.000175728394193934,3.51456788387868e-05,0.00138826912588626,0.00151898734177215,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
47,0.0013355357958739,0.00010543703651636,3.51456788387868e-05,0.000793296643363578,0.0030379746835443,4.95810402102236e-05,0.000506329113924051,4.95810402102236e-05,0
48,0.00101922468632482,0.000175728394193934,7.02913576775735e-05,0.000743715603153354,0.0020253164556962,9.91620804204472e-05,0.000253164556962025,0,0.000253164556962025
49,0.000843496292130883,3.51456788387868e-05,7.02913576775735e-05,0.000594972482522683,0.00177215189873418,4.95810402102236e-05,0,4.95810402102236e-05,0.000253164556962025
50,0.000632622219098162,7.02913576775735e-05,0.00010543703651636,0.000396648321681789,0.0020253164556962,4.95810402102236e-05,0.000253164556962025,0,0
51,0.000492039503743015,3.51456788387868e-05,7.02913576775735e-05,0.000446229361892012,0.000759493670886076,0,0,0,0.000506329113924051
52,0.000492039503743015,0.000140582715355147,0.00010543703651636,0.000446229361892012,0.000759493670886076,9.91620804204472e-05,0,9.91620804204472e-05,0.000253164556962025
53,0.000316311109549081,7.02913576775735e-05,0,0.000198324160840894,0.000759493670886076,4.95810402102236e-05,0,0,0
54,0.000316311109549081,0.00010543703651636,7.02913576775735e-05,0.000148743120630671,0.000759493670886076,0.000148743120630671,0,0,0.000253164556962025
55,0.000281165430710294,0,0,0.000148743120630671,0.000759493670886076,0,0,0,0
56,0.000316311109549081,7.02913576775735e-05,0,0.000148743120630671,0.0010126582278481,4.95810402102236e-05,0.000253164556962025,0,0
57,0.000562330861420588,0,7.02913576775735e-05,0.000446229361892012,0.0010126582278481,0,0,4.95810402102236e-05,0.000253164556962025
58,0.000246019751871507,0.000140582715355147,3.51456788387868e-05,0.000198324160840894,0.000253164556962025,0.000148743120630671,0,0,0.000253164556962025
59,0.000281165430710294,0,0,0.000347067281471565,0.000253164556962025,0,0,0,0
60,0.000175728394193934,0,0,9.91620804204472e-05,0.000506329113924051,0,0,0,0
61,0.000175728394193934,3.51456788387868e-05,0,4.95810402102236e-05,0.000759493670886076,4.95810402102236e-05,0,0,0
62,0.000175728394193934,0,3.51456788387868e-05,9.91620804204472e-05,0.000759493670886076,0,0,0,0.000253164556962025
63,0.00010543703651636,0,0,0,0,0,0,0,0
